record_id,category,metric_name,fiscal_year,period_start,period_end,period_type,original_value,original_units,normalized_value,normalized_units,source_id,source_reference,classification,notes
S2R-0116,cash_flow_summary,credit_facility_repayments,FY2022,2021-11-01,2022-10-31,duration,-95500,USD_thousands,-95.5,USD_millions,SRC-012,"FY2024 Form 10-K, Consolidated Statements of Cash Flow, p. 44",reported_supplemental_extract,
S2R-0117,cash_flow_summary,debt_issuance_costs,FY2022,2021-11-01,2022-10-31,duration,-1210,USD_thousands,-1.21,USD_millions,SRC-012,"FY2024 Form 10-K, Consolidated Statements of Cash Flow, p. 44",reported_supplemental_extract,
S2R-0118,cash_flow_summary,other_long_term_debt_repayments,FY2022,2021-11-01,2022-10-31,duration,-1747,USD_thousands,-1.747,USD_millions,SRC-012,"FY2024 Form 10-K, Consolidated Statements of Cash Flow, p. 44",reported_supplemental_extract,
S2R-0119,cash_flow_summary,common_stock_issuance,FY2022,2021-11-01,2022-10-31,duration,689,USD_thousands,0.689,USD_millions,SRC-012,"FY2024 Form 10-K, Consolidated Statements of Cash Flow, p. 44",reported_supplemental_extract,
S2R-0120,cash_flow_summary,hedge_contract_proceeds,FY2022,2021-11-01,2022-10-31,duration,0,USD_thousands,0,USD_millions,SRC-012,"FY2024 Form 10-K, Consolidated Statements of Cash Flow, p. 44",reported_supplemental_extract,
S2R-0121,cash_flow_summary,payroll_tax_stock_vesting,FY2022,2021-11-01,2022-10-31,duration,-1413,USD_thousands,-1.413,USD_millions,SRC-012,"FY2024 Form 10-K, Consolidated Statements of Cash Flow, p. 44",reported_supplemental_extract,
S2R-0122,cash_flow_summary,financing_cash_flow_total,FY2022,2021-11-01,2022-10-31,duration,-45879,USD_thousands,-45.879,USD_millions,SRC-012,"FY2024 Form 10-K, Consolidated Statements of Cash Flow, p. 44",reported_supplemental_extract,
S2R-0123,cash_flow_summary,fx_effect_on_cash,FY2022,2021-11-01,2022-10-31,duration,-4092,USD_thousands,-4.092,USD_millions,SRC-012,"FY2024 Form 10-K, Consolidated Statements of Cash Flow, p. 44",reported_supplemental_extract,
S2R-0124,cash_flow_summary,net_change_cash_reported,FY2022,2021-11-01,2022-10-31,duration,15032,USD_thousands,15.032,USD_millions,SRC-012,"FY2024 Form 10-K, Consolidated Statements of Cash Flow, p. 44",reported_supplemental_extract,
S2R-0125,cash_flow_summary,cash_begin_total,FY2022,2021-11-01,2022-10-31,duration,40061,USD_thousands,40.061,USD_millions,SRC-012,"FY2024 Form 10-K, Consolidated Statements of Cash Flow, p. 44",reported_supplemental_extract,
S2R-0126,cash_flow_summary,cash_end_total,FY2022,2021-11-01,2022-10-31,duration,55093,USD_thousands,55.093,USD_millions,SRC-012,"FY2024 Form 10-K, Consolidated Statements of Cash Flow, p. 44",reported_supplemental_extract,
S2R-0127,cash_flow_summary,investing_cash_flow_total,FY2023,2022-11-01,2023-10-31,duration,-128439,USD_thousands,-128.439,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0128,cash_flow_summary,credit_facility_borrowings,FY2023,2022-11-01,2023-10-31,duration,102000,USD_thousands,102,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0129,cash_flow_summary,credit_facility_repayments,FY2023,2022-11-01,2023-10-31,duration,-100000,USD_thousands,-100,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0130,cash_flow_summary,debt_issuance_costs,FY2023,2022-11-01,2023-10-31,duration,0,USD_thousands,0,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0131,cash_flow_summary,other_long_term_debt_repayments,FY2023,2022-11-01,2023-10-31,duration,-2567,USD_thousands,-2.567,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0132,cash_flow_summary,common_stock_issuance,FY2023,2022-11-01,2023-10-31,duration,1215,USD_thousands,1.215,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0133,cash_flow_summary,hedge_contract_proceeds,FY2023,2022-11-01,2023-10-31,duration,0,USD_thousands,0,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0134,cash_flow_summary,payroll_tax_stock_vesting,FY2023,2022-11-01,2023-10-31,duration,-567,USD_thousands,-0.567,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0135,cash_flow_summary,financing_cash_flow_total,FY2023,2022-11-01,2023-10-31,duration,-16151,USD_thousands,-16.151,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0136,cash_flow_summary,fx_effect_on_cash,FY2023,2022-11-01,2023-10-31,duration,919,USD_thousands,0.919,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0137,cash_flow_summary,net_change_cash_reported,FY2023,2022-11-01,2023-10-31,duration,3381,USD_thousands,3.381,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0138,cash_flow_summary,cash_begin_total,FY2023,2022-11-01,2023-10-31,duration,55093,USD_thousands,55.093,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0139,cash_flow_summary,cash_end_total,FY2023,2022-11-01,2023-10-31,duration,58474,USD_thousands,58.474,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0140,cash_flow_summary,investing_cash_flow_total,FY2024,2023-11-01,2024-10-31,duration,-420594,USD_thousands,-420.594,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0141,cash_flow_summary,credit_facility_borrowings,FY2024,2023-11-01,2024-10-31,duration,785000,USD_thousands,785,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0142,cash_flow_summary,credit_facility_repayments,FY2024,2023-11-01,2024-10-31,duration,-83750,USD_thousands,-83.75,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0143,cash_flow_summary,debt_issuance_costs,FY2024,2023-11-01,2024-10-31,duration,-13808,USD_thousands,-13.808,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0144,cash_flow_summary,other_long_term_debt_repayments,FY2024,2023-11-01,2024-10-31,duration,-296206,USD_thousands,-296.206,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0145,cash_flow_summary,common_stock_issuance,FY2024,2023-11-01,2024-10-31,duration,573,USD_thousands,0.573,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0146,cash_flow_summary,hedge_contract_proceeds,FY2024,2023-11-01,2024-10-31,duration,6512,USD_thousands,6.512,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0147,cash_flow_summary,payroll_tax_stock_vesting,FY2024,2023-11-01,2024-10-31,duration,-1193,USD_thousands,-1.193,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0148,cash_flow_summary,financing_cash_flow_total,FY2024,2023-11-01,2024-10-31,duration,385156,USD_thousands,385.156,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0149,cash_flow_summary,fx_effect_on_cash,FY2024,2023-11-01,2024-10-31,duration,-8853,USD_thousands,-8.853,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0150,cash_flow_summary,net_change_cash_reported,FY2024,2023-11-01,2024-10-31,duration,44521,USD_thousands,44.521,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0151,cash_flow_summary,cash_begin_total,FY2024,2023-11-01,2024-10-31,duration,58474,USD_thousands,58.474,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0152,cash_flow_summary,cash_end_total,FY2024,2023-11-01,2024-10-31,duration,102995,USD_thousands,102.995,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0153,cash_flow_summary,investing_cash_flow_total,FY2025,2024-11-01,2025-10-31,duration,-62008,USD_thousands,-62.008,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0154,cash_flow_summary,credit_facility_borrowings,FY2025,2024-11-01,2025-10-31,duration,190000,USD_thousands,190,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0155,cash_flow_summary,credit_facility_repayments,FY2025,2024-11-01,2025-10-31,duration,-265000,USD_thousands,-265,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0156,cash_flow_summary,debt_issuance_costs,FY2025,2024-11-01,2025-10-31,duration,0,USD_thousands,0,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0157,cash_flow_summary,other_long_term_debt_repayments,FY2025,2024-11-01,2025-10-31,duration,-4045,USD_thousands,-4.045,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0158,cash_flow_summary,common_stock_issuance,FY2025,2024-11-01,2025-10-31,duration,214,USD_thousands,0.214,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0159,cash_flow_summary,hedge_contract_proceeds,FY2025,2024-11-01,2025-10-31,duration,0,USD_thousands,0,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0160,cash_flow_summary,payroll_tax_stock_vesting,FY2025,2024-11-01,2025-10-31,duration,-1400,USD_thousands,-1.4,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0161,cash_flow_summary,financing_cash_flow_total,FY2025,2024-11-01,2025-10-31,duration,-127480,USD_thousands,-127.48,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0162,cash_flow_summary,fx_effect_on_cash,FY2025,2024-11-01,2025-10-31,duration,-286,USD_thousands,-0.286,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0163,cash_flow_summary,net_change_cash_reported,FY2025,2024-11-01,2025-10-31,duration,-24877,USD_thousands,-24.877,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0164,cash_flow_summary,cash_begin_total,FY2025,2024-11-01,2025-10-31,duration,102995,USD_thousands,102.995,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0165,cash_flow_summary,cash_end_total,FY2025,2024-11-01,2025-10-31,duration,78118,USD_thousands,78.118,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0166,debt,term_loan_principal,FY2021,,2021-10-31,instant,0,USD_thousands,0,USD_millions,SRC-014,"FY2022 Form 10-K Note 8, Long-term debt, p. 54",reported_supplemental_extract,
S2R-0167,debt,revolver_borrowings,FY2021,,2021-10-31,instant,38000,USD_thousands,38,USD_millions,SRC-014,"FY2022 Form 10-K Note 8, Long-term debt, p. 54",reported_supplemental_extract,
S2R-0168,debt,finance_lease_obligations_principal,FY2021,,2021-10-31,instant,15537,USD_thousands,15.537,USD_millions,SRC-014,"FY2022 Form 10-K Note 8, Long-term debt, p. 54",reported_supplemental_extract,
S2R-0169,debt,unamortized_financing_fees,FY2021,,2021-10-31,instant,597,USD_thousands,0.597,USD_millions,SRC-014,"FY2022 Form 10-K Note 8, Long-term debt, p. 54",reported_supplemental_extract,
S2R-0170,debt,total_debt_principal,FY2021,,2021-10-31,instant,53537,USD_thousands,53.537,USD_millions,SRC-014,"FY2022 Form 10-K Note 8, Long-term debt, p. 54",reported_supplemental_extract,
S2R-0171,debt,total_debt_carrying_amount,FY2021,,2021-10-31,instant,52940,USD_thousands,52.94,USD_millions,SRC-014,"FY2022 Form 10-K Note 8, Long-term debt, p. 54",reported_supplemental_extract,
S2R-0172,debt,term_loan_principal,FY2022,,2022-10-31,instant,0,USD_thousands,0,USD_millions,SRC-014,"FY2022 Form 10-K Note 8, Long-term debt, p. 54",reported_supplemental_extract,
S2R-0173,debt,revolver_borrowings,FY2022,,2022-10-31,instant,13000,USD_thousands,13,USD_millions,SRC-014,"FY2022 Form 10-K Note 8, Long-term debt, p. 54",reported_supplemental_extract,
S2R-0174,debt,finance_lease_obligations_principal,FY2022,,2022-10-31,instant,19202,USD_thousands,19.202,USD_millions,SRC-014,"FY2022 Form 10-K Note 8, Long-term debt, p. 54",reported_supplemental_extract,
S2R-0175,debt,unamortized_financing_fees,FY2022,,2022-10-31,instant,1528,USD_thousands,1.528,USD_millions,SRC-014,"FY2022 Form 10-K Note 8, Long-term debt, p. 54",reported_supplemental_extract,
S2R-0176,debt,total_debt_principal,FY2022,,2022-10-31,instant,32202,USD_thousands,32.202,USD_millions,SRC-014,"FY2022 Form 10-K Note 8, Long-term debt, p. 54",reported_supplemental_extract,
S2R-0177,debt,total_debt_carrying_amount,FY2022,,2022-10-31,instant,30674,USD_thousands,30.674,USD_millions,SRC-014,"FY2022 Form 10-K Note 8, Long-term debt, p. 54",reported_supplemental_extract,
S2R-0178,debt,term_loan_principal,FY2023,,2023-10-31,instant,0,USD_thousands,0,USD_millions,SRC-012,"FY2024 Form 10-K Note 9, Long-term debt, p. 61",reported_supplemental_extract,
S2R-0179,debt,revolver_borrowings,FY2023,,2023-10-31,instant,15000,USD_thousands,15,USD_millions,SRC-012,"FY2024 Form 10-K Note 9, Long-term debt, p. 61",reported_supplemental_extract,
S2R-0180,debt,finance_lease_obligations_principal,FY2023,,2023-10-31,instant,55000,USD_thousands,55,USD_millions,SRC-012,"FY2024 Form 10-K Note 9, Long-term debt, p. 61",reported_supplemental_extract,
S2R-0181,debt,unamortized_financing_fees,FY2023,,2023-10-31,instant,1200,USD_thousands,1.2,USD_millions,SRC-012,"FY2024 Form 10-K Note 9, Long-term debt, p. 61",reported_supplemental_extract,
S2R-0182,debt,total_debt_principal,FY2023,,2023-10-31,instant,70000,USD_thousands,70,USD_millions,SRC-012,"FY2024 Form 10-K Note 9, Long-term debt, p. 61",reported_supplemental_extract,
S2R-0183,debt,total_debt_carrying_amount,FY2023,,2023-10-31,instant,68800,USD_thousands,68.8,USD_millions,SRC-012,"FY2024 Form 10-K Note 9, Long-term debt, p. 61",reported_supplemental_extract,
S2R-0184,debt,unamortized_financing_fees,FY2024,,2024-10-31,instant,13983,USD_thousands,13.983,USD_millions,SRC-012,"FY2024 Form 10-K Note 9, Long-term debt, p. 61",reported_supplemental_extract,Contra-debt amount; retained separately from principal.
S2R-0185,debt,unamortized_financing_fees,FY2025,,2025-10-31,instant,11040,USD_thousands,11.04,USD_millions,SRC-001,"FY2025 Form 10-K Note 9, Long-term debt, p. 62",reported_supplemental_extract,Contra-debt amount; retained separately from principal.
